Accession,Peptides used for quantitation,BY,BY 2,RM,RM 2,7.3.d,11.2.d,7.8.d,4.4.d,6.4.d,3.4.d,9.6.d,2.4.a,23.5.d,18.1.d,20.1.d,8.2.d,17.2.d,1.3.d,1.1.d,14.2.c
YDL063C,1,-3.053232854,-3.905072022,-5.375573857,-4.868373919,-5.92307774,-5.114055806,-2.505032861,-5.498295747,-4.029130674,-2.202378419,-3.242912847,-1.263560508,-5.580735373,-1.982275035,-6.127884582,-3.760571009,-3.915751196,-2.587620387,-2.91572618,-3.212813297
YDL064W,1,0.313059088,0.787890793,0.008110554,0.144172665,0.696870551,0.597335512,-0.585808373,-0.102048299,0.68462271,-0.009002894,0.885100461,0.63123068,-0.251573618,0.236607601,0.003709517,0.272148464,0.16946793,-0.013586049,0.758952401,0.439436338
YDL072C,1,-1.155566741,-2.753207889,-0.520870943,-0.725021652,-0.983001417,-0.624912939,-4.112913545,-0.750008903,-2.691613391,-1.587628319,-1.752399845,-5.244513551,-1.635763311,-2.191827285,-0.902921743,-2.056444547,-1.534419805,-1.238387336,-1.444941389,-1.535068366
YDL074C,1,-0.399785567,-1.455847277,-2.362855349,-2.242782744,-1.315920997,-3.072175102,-2.096301929,-3.174463689,-3.797351035,-0.165955201,-3.535742058,-3.596981901,-0.882787897,0.687826034,-1.806617243,-2.620952711,0.267761222,0.887938921,-2.028833018,-1.113975965
YDL075W,1,3.917824117,3.768129311,3.641984017,3.783829722,3.341409496,3.065096962,3.13686506,3.218053738,2.484522367,4.232690625,2.77304371,2.326275251,4.355164566,4.272833943,3.572406108,3.044348879,4.741160432,4.601155213,3.019641545,4.083948619
YDL088C,1,-2.419557499,-1.761650547,-2.029700128,-2.143089075,-1.842512244,-1.865933268,-1.759945762,-2.348993106,-1.500168022,-1.99200293,-2.001396941,-1.581684612,-1.184062426,-1.535655825,-1.811145501,-1.261003446,-1.49855879,-1.325465572,-1.547048795,-1.19361471
YDL112W,1,-3.744548472,-3.295076778,-5.348885496,-4.835991458,-4.366529533,-6.345837947,-4.015235657,-4.577665175,-5.027681178,-3.125625675,-3.939783264,-5.459117314,-4.001927497,-3.55539308,-6.398836702,-4.119763075,-3.050260226,-2.994126028,-4.461275361,-3.350544349
YDL116W,1,-1.375903099,-1.476889345,-0.330823258,-0.48968804,-0.199684303,-1.255959755,-1.905594015,-0.300973357,-2.272255766,-0.716698898,-0.484355094,-6.903067254,-2.155356501,-0.86951888,-0.54822146,-1.482119071,-1.662618288,-1.585807369,-1.018034918,-1.27058616
YDL130W,1,6.733493436,6.571266647,6.449127559,6.314980454,6.672295683,7.009911694,7.287905453,5.988628447,6.812222587,6.733197851,6.916516648,6.601398317,6.851095267,6.90794549,6.405725675,6.954503288,6.860775598,6.927083018,6.971503923,6.912562487
YDL135C,1,2.449776603,2.393728495,1.590473432,1.74250152,1.89811022,2.118825669,2.602389525,2.09592856,2.158182926,2.23979855,2.196887139,2.625054319,1.452170693,2.014866067,1.255899976,1.910250525,1.798458471,1.914314775,1.578595343,1.78821934
YDL147W,1,-4.630526987,-6.406051506,-0.87180166,-1.0517806,-0.165104304,-1.676522617,-2.935865722,-0.38358688,-1.623667043,-1.638774778,-0.709014852,-4.912767651,-1.571836792,-3.763858102,-1.1444189,-3.776633989,-4.55176781,-3.829403537,-2.691754984,-2.918546931
YDL148C,1,-0.474570746,-0.355155286,-1.060665797,-1.143504904,-0.895087855,-1.057742684,-0.673611264,-1.573542259,-0.641643743,-0.142985588,-0.040573693,0.019421343,-0.391165249,0.203855668,-0.508341812,-0.452337152,-0.510888716,-0.354345023,0.09709002,0.193449833
YDL201W,1,-1.053473541,-1.052936069,-1.818134293,-1.742987296,-1.45262193,-1.754000497,-0.899140032,-1.643031616,-0.918740848,-0.71925664,-1.147200842,-0.642243256,-1.097182968,-0.79833581,-1.4104324,-0.75526135,-0.948561412,-0.554368411,-1.014707919,-0.955491534
YDL215C,1,-0.282052208,-0.408799062,3.22737914,3.019482588,2.228685,2.405879489,0.716526666,2.372759328,0.399277484,2.685505061,1.842977244,-1.950508741,2.201919016,0.833955816,2.766503291,0.974667452,1.932679496,0.833736386,2.41316423,1.981438408
YDL219W,1,1.793350951,1.763790136,3.358766893,3.516687242,3.025451966,3.89788183,3.137212849,2.637548404,1.922903868,3.200334691,2.319272668,0.404611516,2.599651646,1.969866101,2.489461874,2.545794474,3.375392432,1.916752574,3.489620676,3.229719167
YDR012W,1,-6.73097521,-6.911180456,1.820239896,1.611465496,-2.058276829,-0.940017751,-5.665068414,1.918982899,-4.937672911,-1.581788795,-1.848749727,-1.570662644,-1.841522278,-5.102826065,0.582578663,-2.722429955,-2.232661294,-5.717087406,-1.520683972,-1.832423907
YDR031W,1,0.290899072,0.169748024,-0.193339051,-0.153998358,-0.203726316,1.01092511,-0.036386801,-0.326761876,1.408726153,-0.970231316,0.45795626,-0.728844964,0.633824837,-0.670226441,0.495378326,-0.193695772,0.253160674,-0.198731934,0.429780019,0.143150692
YDR033W,1,0.49956748,0.743030439,1.024675433,0.841708921,3.249365858,2.81255424,-0.101396191,4.326069037,-0.214824317,2.805589229,0.902994471,-0.891526795,3.074014075,0.591752231,4.550124176,-0.88624346,1.79582307,-0.743312676,-0.782198788,-0.504374755
YDR034C,1,-1.160922717,-1.15484848,-2.067433207,-2.295554095,-1.821999511,-1.795868441,-1.31768697,-2.529884439,-1.14819139,-1.868602502,-1.435584898,-0.937229492,-1.148640307,-1.111718908,-1.768570039,-0.860650724,-1.52524071,-1.055861003,-1.404649753,-0.970077692
YDR045C,1,-1.490765866,-1.344293737,-1.40457134,-0.967092715,-1.357717239,-0.87490149,-0.731811496,-1.960299341,-0.528522235,-0.836396777,-0.884709169,-1.967067408,-1.213230448,-0.741827019,-1.474532796,-0.697947332,-1.24013906,-1.003294329,-0.552096787,-0.882797765
YDR067C,1,-1.741011691,-1.276344877,-2.345701383,-1.920279973,-2.592729897,-3.466372261,-1.957419518,-3.298473815,-1.792824487,-2.112103453,-1.822770601,-1.23221753,-1.685839648,-1.648459551,-2.646501415,-1.806711897,-2.208442855,-1.02663231,-1.864986032,-1.750951769
YDR096W,1,-1.656417851,-1.350188809,-2.120167973,-2.303269508,-2.52639885,-1.704484396,-1.699594013,-2.346498197,-1.106827932,-2.912399605,-1.565383926,-3.621760805,-1.164874091,-2.121853635,-1.815980067,-1.86420793,-1.660475742,-2.04360812,-1.210916968,-1.840608585
YDR111C,1,-3.962253861,-4.744512179,-1.842851839,-2.001900417,-2.045994737,-2.310630518,-2.905667436,-2.018221105,-2.896876243,-1.795753115,-2.418643209,-7.863118244,-2.778086356,-3.190891802,-2.696637924,-3.480659925,-3.136660592,-2.778459417,-1.939225403,-1.656596107
YDR141C,1,-3.0102429,-2.972944325,-4.947696461,-4.898683846,-4.114937002,-4.95323395,-4.81163493,-6.459866072,-4.99597963,-3.138096251,-3.835468037,-3.83038293,-4.650443317,-4.581141762,-5.588073774,-4.208876965,-3.434585831,-3.213278098,-3.875319457,-3.890096355
YDR173C,1,-2.277899345,-2.720282126,-3.824510925,-3.355570934,-3.560745754,-2.900777133,-4.453999859,-3.159606453,-3.510427973,-5.257478871,-4.227896175,-6.339895153,-3.833888744,-5.501453091,-3.29210523,-3.933689758,-3.954423268,-5.33910383,-4.350783166,-3.720730011
YDR237W,1,-3.376155001,-3.32785156,-2.875411157,-3.083596551,-6.199632626,-3.513925937,-4.129153471,-3.357659553,-1.857841128,-3.897580406,-3.077960656,-4.503834329,-1.853608768,-2.370522534,-1.805988823,-1.611995961,-3.343543115,-1.683615144,-2.266868493,-0.8048574
YDR245W,1,0.259301792,0.319104585,-1.691668381,-1.63954799,-1.527572459,-1.524860791,0.176156063,-2.489787197,-0.522258871,-0.311986379,-0.446541817,0.886722318,-0.389843058,0.455012146,-1.148869474,0.591259753,0.351978087,1.212402338,-0.220634641,0.593946387
YDR249C,1,-0.964102965,-1.013459851,-2.431608694,-2.64774978,-2.404247877,-2.421941747,-1.869033788,-2.653012109,-1.95619456,-1.579411413,-1.786743165,-1.252376677,-1.60518909,-1.464923626,-2.289400282,-1.25619554,-0.550124947,-0.847079908,-2.233466854,-1.616326257
YDR261C,1,-1.874389918,-1.997578581,-4.086846328,-3.728014861,-3.190380059,-4.550134924,-3.82815612,-4.587507309,-1.925789742,-1.703625924,-2.466470526,-1.98556856,-2.979509307,-2.236779721,-3.734294846,-2.416213193,-2.388743434,-2.344866515,-2.359347036,-2.719351265
YDR264C,1,-2.415773224,-2.710959595,-4.060867279,-3.302146981,-3.613307635,-3.859066359,-3.624821373,-2.388555937,-4.965341764,-1.7991369,-2.093530185,-5.244944801,-4.132312996,-3.447130329,-3.296615031,-3.762047266,-2.704611959,-2.871241539,-3.186226128,-3.360766948
YDR268W,1,-1.805003053,-1.518219023,0.001032682,0.133163815,-0.454696408,-1.047937326,-1.808318551,-0.347871985,-0.020736883,-0.391275412,0.094526887,-2.948545365,-0.41768669,-1.069785074,-0.160837916,-0.037421675,-1.32971809,-0.35071335,-0.645107149,-0.082229625
YDR272W,1,0.170825698,0.65648121,3.462947094,3.444701542,1.957630998,2.528615958,0.795446529,3.224419031,0.681366804,1.181590013,1.62788623,-3.145154262,1.791587708,0.031118373,3.016619828,0.78652122,1.270834451,1.095679433,2.366940556,1.156856572
YDR283C,1,-2.408273865,-1.503645336,0.062238513,-0.41684538,-0.388945963,-0.87744593,-2.506809729,-0.312223976,-2.017560959,0.649375205,-0.936971216,-3.859245562,-0.785190853,-2.035605793,-0.252544653,-1.592221801,-1.300624466,-1.91311765,-0.919599144,-1.488835221
YDR284C,1,-7.418046224,-10.26370492,-3.14048785,-3.063689163,-2.690120356,-10.61871432,-3.396425511,-3.992149748,-2.384649834,-2.43538553,-2.03168707,-7.988908469,-2.818232913,-2.735163261,-3.04408377,-7.876868886,-3.000280669,-3.01089096,-3.004763256,-2.78813107
YDR294C,1,-2.714505041,-2.629751333,-4.418268331,-4.684186178,-4.255659137,-6.925441201,-4.81411329,-5.158939758,-4.221795409,-3.230241245,-3.363662148,-3.641365196,-4.213448846,-4.244676085,-4.464575376,-3.445229471,-4.271131946,-2.625711311,-3.463907184,-3.313989509
