ORF,Gene,SWAT GFP localization,mCherry localization,Seamless GFP localization,"C' GFP localization (Won-Ki H. et. al. 2003)",SWAT GFP intensity median (a.u.),Seamless GFP intensity median (a.u.),Library tybe
YIL076W,SEC28,punctate,punctate,punctate,"punctate,punctate",128.8,43.8,SWAT-GFP
YIL085C,KTR7,"ER,punctate",0,0,0,N/D,N/D,SWAT-GFP
YIL088C,AVT7,vacuole,vacuole,vacuole,ER,44.0,13.9,SWAT-GFP
YIL089W,YIL089W,"punctate,vacuole","punctate,vacuole",below threshold,below threshold,37.1,9.1,SWAT-GFP
YIL090W,ICE2,ER,ER,ER,ER,46.8,10.0,SWAT-GFP
YIL095W,PRK1,punctate,punctate,"punctate,bud neck",punctate,43.1,12.7,SWAT-GFP
YIL099W,SGA1,"ER,vacuole",vacuole,below threshold,below threshold,76.5,11.9,SWAT-SP-GFP
YIL102C-A,YIL102C-A,ER,ER,"ambigous,ER",0,39.4,11.9,SWAT-GFP
YIL105C,SLM1,"cell periphery,punctate",0,0,punctate,N/D,N/D,SWAT-GFP
YIL109C,SEC24,"punctate,vacuole membrane","punctate,vacuole membrane",punctate,ER to punctate,186.5,34.4,SWAT-GFP
YIL114C,POR2,mitochondria,0,0,mitochondria,N/D,N/D,SWAT-GFP
YIL117C,PRM5,below threshold,below threshold,below threshold,vacuole,13.0,11.4,SWAT-GFP
YIL120W,QDR1,"cell periphery,ER","cell periphery,vacuole",below threshold,below threshold,47.2,9.4,SWAT-GFP
YIL121W,QDR2,cell periphery,"cell periphery,vacuole","below threshold,cell periphery",cell periphery,47.0,N/D,SWAT-GFP
YIL123W,SIM1,ER,vacuole,ER,vacuole,101.9,27.3,SWAT-SP-GFP
YIL124W,AYR1,"ER,punctate","ER,punctate",ambigous,ER,149.0,13.9,SWAT-GFP
YIL134C-A,YIL134C-A,below threshold,below threshold,below threshold,0,11.7,12.3,SWAT-GFP
YIL134W,FLX1,mitochondria,mitochondria,below threshold,below threshold,23.5,9.7,SWAT-GFP
YIL140W,AXL2,vacuole,vacuole,ambigous,"ambiguous,neck,cell periphery,vacuole,bud,bud neck",38.8,15.4,SWAT-SP-GFP
YIL147C,SLN1,cell periphery,cell periphery,cell periphery,cell periphery,38.5,10.9,SWAT-GFP
YIL156W-B,YIL156W-B,"ER,vacuole",vacuole,below threshold,0,49.2,12.6,SWAT-SP-GFP
YIL158W,AIM20,punctate,0,0,vacuole,N/D,N/D,SWAT-GFP
YIL160C,POT1,punctate,0,0,ambiguous,N/D,N/D,SWAT-GFP
YIL162W,SUC2,"cell periphery,vacuole","cell periphery,vacuole",ambigous,below threshold,38.8,17.7,SWAT-SP-GFP
YIL166C,YIL166C,"cell periphery,vacuole","cell periphery,vacuole",below threshold,below threshold,39.2,9.1,SWAT-GFP
YIL169C,YIL169C,cell periphery,"cell periphery,vacuole","below threshold,cell periphery",below threshold,29.9,12.9,SWAT-SP-GFP
YIL173W,VTH1,"vacuole,punctate",vacuole,below threshold,punctate,50.0,11.5,SWAT-SP-GFP
YIR004W,DJP1,"cell periphery,ER,bud","cell periphery,ER,bud",ER,ER,81.1,28.4,SWAT-GFP
YIR006C,PAN1,"punctate,bud neck","punctate,bud neck","punctate,bud neck",punctate,112.9,28.8,SWAT-GFP
YIR007W,EGH1,vacuole membrane,vacuole membrane,below threshold,cytosol,57.0,9.7,SWAT-GFP
YIR014W,YIR014W,ER,ER,below threshold,vacuole,36.8,10.1,SWAT-GFP
YIR019C,FLO11,vacuole,vacuole,below threshold,0,29.2,11.4,SWAT-SP-GFP
YIR020C,YIR020C,"ER,punctate",0,0,below threshold,N/D,N/D,SWAT-GFP
YIR022W,SEC11,ER,vacuole,below threshold,ER,55.3,12.2,SWAT-SP-GFP
YIR028W,DAL4,vacuole,vacuole,below threshold,below threshold,35.3,9.1,SWAT-GFP
YIR031C,DAL7,cytosol,cytosol,below threshold,0,132.2,8.8,SWAT-GFP
YIR032C,DAL3,cytosol,0,0,below threshold,N/D,N/D,SWAT-GFP
YIR033W,MGA2,ER,ER,"ambigous,ER",below threshold,44.1,14.4,SWAT-GFP
YIR034C,LYS1,punctate,punctate,punctate,"nucleus,cytosol",86.7,162.0,SWAT-GFP
YIR037W,HYR1,cytosol,cytosol,cytosol,cytosol,358.4,40.3,SWAT-GFP
YIR038C,GTT1,"cell periphery,ER","cell periphery,ER","cell periphery,ER",cytosol,339.7,23.0,SWAT-GFP
YIR039C,YPS6,ER,vacuole,below threshold,0,75.2,11.7,SWAT-SP-GFP
YIR041W,PAU15,vacuole,vacuole,below threshold,below threshold,44.7,11.0,SWAT-SP-GFP
YJL001W,PRE3,0,0,below threshold,0,96.3,8.6,SWAT-GFP
YJL002C,OST1,ER,ER,ER,ER,136.2,59.5,SWAT-SP-GFP
YJL005W,CYR1,cytosol,cytosol,cytosol,cytosol,35.3,12.5,SWAT-GFP
YJL012C,VTC4,"cell periphery,vacuole membrane","cell periphery,vacuole",vacuole membrane,below threshold,112.2,30.9,SWAT-GFP
YJL019W,MPS3,"punctate,nuclear periphery","cell periphery,punctate,nuclear periphery",punctate,0,55.3,12.5,SWAT-GFP
YJL024C,APS3,punctate,punctate,punctate,"punctate,punctate",35.4,17.2,SWAT-GFP
YJL028W,YJL028W,punctate,below threshold,below threshold,below threshold,17.2,9.0,SWAT-GFP
YJL029C,VPS53,"cytosol,punctate","cytosol,punctate",punctate,"punctate,punctate",42.5,14.5,SWAT-GFP
YJL031C,BET4,cytosol,cytosol,0,0,78.9,N/D,SWAT-GFP
YJL036W,SNX4,"cytosol,punctate","cytosol,punctate",punctate,punctate,51.2,19.3,SWAT-GFP
YJL037W,IRC18,"ER,punctate,vacuole",vacuole,punctate,below threshold,152.5,60.7,SWAT-SP-GFP
YJL038C,LOH1,cytosol,cytosol,below threshold,below threshold,51.5,8.5,SWAT-GFP
YJL039C,NUP192,nucleus,nucleus,"nuclear periphery,punctate",0,75.4,27.8,SWAT-GFP
YJL044C,GYP6,"cytosol,punctate","cytosol,punctate",punctate,punctate,81.1,13.0,SWAT-GFP
YJL051W,IRC8,"cell periphery,vacuole","cell periphery,vacuole",below threshold,cytosol,16.3,9.4,SWAT-GFP
YJL052C-A,YJL052C-A,ambigous,vacuole,below threshold,below threshold,19.6,12.0,SWAT-SP-GFP
YJL052W,TDH1,cytosol,cytosol,"cytosol,nucleus","nucleus,cytosol",272.9,530.6,SWAT-GFP
YJL058C,BIT61,cell periphery,"cell periphery,punctate",below threshold,cytosol,40.8,9.5,SWAT-GFP
YJL059W,YHC3,punctate,"punctate,vacuole",ambigous,below threshold,46.4,13.4,SWAT-GFP
YJL062W,LAS21,ER,ER,ER,ER,63.4,17.0,SWAT-SP-GFP
YJL073W,JEM1,ER,ER,ambigous,below threshold,70.5,13.2,SWAT-SP-GFP
YJL077C,ICS3,below threshold,below threshold,below threshold,mitochondria,12.2,9.7,SWAT-GFP
YJL078C,PRY3,cell periphery,"cell periphery,vacuole","ambigous,cell periphery",ER,27.1,14.7,SWAT-SP-GFP
YJL079C,PRY1,ER,vacuole,cytosol,vacuole,36.5,38.9,SWAT-SP-GFP
YJL080C,SCP160,vacuole membrane,vacuole membrane,vacuole membrane,ER,244.7,50.8,SWAT-GFP
YJL084C,ALY2,cytosol,cytosol,cytosol,cytosol,31.9,10.2,SWAT-GFP
YJL085W,EXO70,bud neck,bud neck,bud neck,"neck,cell periphery,bud,bud neck",55.3,13.0,SWAT-GFP
YJL091C,GWT1,ER,ER,below threshold,0,18.5,14.0,SWAT-GFP
YJL093C,TOK1,cell periphery,cell periphery,ambigous,below threshold,41.7,8.9,SWAT-GFP
YJL094C,KHA1,ER,ER,below threshold,below threshold,19.7,10.1,SWAT-GFP
YJL095W,BCK1,bud neck,bud neck,below threshold,cytosol,46.5,12.9,SWAT-GFP
YJL097W,PHS1,ER,ER,ER,"ER,vacuole",147.4,35.2,SWAT-GFP
YJL099W,CHS6,"cytosol,punctate","cytosol,punctate",below threshold,punctate,48.0,10.7,SWAT-GFP
YJL100W,LSB6,vacuole membrane,vacuole membrane,below threshold,below threshold,40.4,12.2,SWAT-GFP
YJL102W,MEF2,cytosol,cytosol,below threshold,0,8.3,9.1,SWAT-GFP
YJL108C,PRM10,ER,ER,below threshold,0,18.2,9.3,SWAT-GFP
YJL112W,MDV1,mitochondria,0,0,mitochondria,N/D,N/D,SWAT-GFP
YJL116C,NCA3,vacuole,vacuole,"ambigous,vacuole",below threshold,16.6,17.0,SWAT-SP-GFP
YJL117W,PHO86,ER,ER,ER,ER,75.4,26.5,SWAT-GFP
YJL123C,MTC1,punctate,punctate,punctate,"cytosol,punctate,punctate",89.6,37.7,SWAT-GFP
YJL127C-B,YJL127C-B,"punctate,mitochondria",below threshold,"punctate,mitochondria",0,14.3,9.8,SWAT-GFP
YJL129C,TRK1,"cell periphery,punctate","cell periphery,punctate",below threshold,below threshold,19.0,10.3,SWAT-GFP
YJL132W,YJL132W,"ER,vacuole",vacuole,below threshold,below threshold,50.7,11.9,SWAT-SP-GFP
YJL134W,LCB3,ER,ER,ER,ER,65.1,19.1,SWAT-GFP
YJL139C,YUR1,ER,ER,below threshold,below threshold,23.6,9.0,SWAT-GFP
YJL145W,SFH5,"cell periphery,vacuole membrane","cell periphery,vacuole membrane",punctate,cytosol,114.6,30.5,SWAT-GFP
YJL158C,CIS3,"cell periphery,vacuole","cell periphery,vacuole",cytosol,vacuole,25.9,59.3,SWAT-SP-GFP
YJL159W,HSP150,"cell periphery,vacuole",cytosol,cytosol,below threshold,24.8,22.7,SWAT-SP-GFP
YJL160C,PIR5,"ER,vacuole",vacuole,below threshold,below threshold,23.7,11.5,SWAT-SP-GFP
YJL163C,YJL163C,vacuole membrane,vacuole membrane,below threshold,below threshold,38.0,10.2,SWAT-GFP
YJL170C,ASG7,vacuole membrane,vacuole,below threshold,below threshold,58.3,10.5,SWAT-GFP
YJL171C,YJL171C,ER,"ER,vacuole",ER,ER,97.8,19.4,SWAT-SP-GFP
YJL172W,CPS1,vacuole,vacuole,below threshold,0,104.0,8.7,SWAT-GFP
YJL174W,KRE9,"ER,vacuole",vacuole,vacuole,below threshold,53.4,28.3,SWAT-SP-GFP
YJL178C,ATG27,vacuole,vacuole,vacuole,punctate,82.9,24.5,SWAT-SP-GFP
YJL183W,MNN11,"ER,punctate","ER,vacuole",punctate,punctate,64.6,30.1,SWAT-GFP
YJL185C,ATG36,punctate,punctate,punctate,below threshold,29.8,11.9,SWAT-GFP
YJL186W,MNN5,ER,vacuole,punctate,punctate,22.5,25.4,SWAT-SP-GFP
YJL192C,SOP4,ER,ER,ER,ER,57.1,20.5,SWAT-SP-GFP
YJL193W,YJL193W,punctate,vacuole,"below threshold,punctate",below threshold,28.7,11.3,SWAT-GFP
YJL194W,CDC6,nucleus,below threshold,below threshold,"nucleus,cytosol",13.9,9.3,SWAT-GFP
YJL196C,ELO1,ER,ER,ER,ER,70.5,14.1,SWAT-GFP
YJL198W,PHO90,cell periphery,"cell periphery,vacuole",punctate,ER,42.8,N/D,SWAT-GFP
YJL204C,RCY1,bud,bud,"punctate,bud neck",cytosol,50.1,16.9,SWAT-GFP
YJL205C,NCE101,cytosol,cytosol,below threshold,0,20.9,10.8,SWAT-GFP
YJL207C,LAA1,punctate,punctate,punctate,punctate,50.7,14.9,SWAT-GFP
YJL210W,PEX2,punctate,0,0,punctate,N/D,N/D,SWAT-GFP
YJL212C,OPT1,"cell periphery,punctate",0,0,ER,N/D,N/D,SWAT-GFP
YJL214W,HXT8,cell periphery,"cell periphery,vacuole",below threshold,below threshold,58.0,9.1,SWAT-GFP
YJL219W,HXT9,"cell periphery,vacuole","cell periphery,vacuole",below threshold,below threshold,71.6,8.3,SWAT-GFP
YJL222W,VTH2,"ER,punctate,vacuole",vacuole,below threshold,ambiguous,49.4,12.7,SWAT-SP-GFP
YJL223C,PAU1,vacuole,vacuole,below threshold,below threshold,35.3,11.1,SWAT-SP-GFP
YJR001W,AVT1,vacuole membrane,vacuole membrane,vacuole membrane,below threshold,39.3,13.4,SWAT-GFP
YJR004C,SAG1,"cell periphery,vacuole","cell periphery,vacuole","cell periphery,vacuole",0,57.6,20.9,SWAT-SP-GFP
YJR005W,APL1,"punctate,bud neck,nucleus",0,bud neck,"bud neck,cell periphery",35.7,13.5,SWAT-GFP
YJR009C,TDH2,"cytosol,nucleus",0,"cytosol,nucleus","nucleus,cytosol",215.9,363.9,SWAT-GFP
YJR010C-A,SPC1,ER,ER,ER,ER,45.5,18.3,SWAT-GFP
YJR013W,GPI14,ER,ER,ER,ER,51.9,11.4,SWAT-GFP
YJR015W,YJR015W,ER,ER,below threshold,"ER,cytosol",56.9,11.3,SWAT-GFP
YJR019C,TES1,punctate,punctate,punctate,mitochondria,41.8,16.0,SWAT-GFP
YJR031C,GEA1,"punctate,bud","punctate,bud",punctate,punctate,57.1,15.5,SWAT-GFP
YJR040W,GEF1,punctate,punctate,below threshold,below threshold,55.9,10.3,SWAT-GFP
YJR044C,VPS55,"punctate,vacuole membrane","punctate,vacuole",punctate,punctate,63.8,19.4,SWAT-GFP
YJR054W,KCH1,punctate,"cell periphery,vacuole",below threshold,vacuole,35.8,10.1,SWAT-GFP
YJR058C,APS2,"punctate,bud neck,nucleus","punctate,bud neck,nucleus","punctate,bud neck","bud neck,cell periphery",34.3,14.6,SWAT-GFP
YJR066W,TOR1,"punctate,vacuole membrane","punctate,vacuole membrane",below threshold,below threshold,51.1,9.6,SWAT-GFP
YJR072C,NPA3,cytosol,cytosol,cytosol,cytosol,122.5,33.9,SWAT-GFP
YJR073C,OPI3,"cell periphery,ER,punctate","cell periphery,ER,punctate","cell periphery,ER,punctate","ER,vacuole",54.5,8.8,SWAT-GFP
YJR075W,HOC1,punctate,vacuole,punctate,punctate,0.0,31.7,SWAT-SP-GFP
YJR076C,CDC11,bud neck,0,bud neck,"bud neck,cell periphery",106.0,19.5,SWAT-GFP
YJR086W,STE18,cell periphery,"cell periphery,vacuole",cell periphery,"cytosol,punctate",53.0,31.8,SWAT-GFP
YJR088C,EMC2,nucleus,nucleus,ER,ER,88.7,29.2,SWAT-GFP
YJR102C,VPS25,cytosol,cytosol,ambigous,below threshold,110.4,11.7,SWAT-GFP
YJR103W,URA8,"ER,vacuole",vacuole,cytosol,cytosol,67.1,19.3,SWAT-SP-GFP
YJR106W,ECM27,ER,ER,"ambigous,vacuole",below threshold,21.3,10.4,SWAT-GFP
YJR112W-A,YJR112W-A,"ER,punctate","ER,punctate",below threshold,0,36.9,11.0,SWAT-GFP
YJR116W,TDA4,ER,ER,below threshold,cytosol,23.7,9.5,SWAT-GFP
YJR117W,STE24,ER,ER,ER,0,40.4,15.6,SWAT-GFP
YJR124C,YJR124C,vacuole membrane,vacuole membrane,vacuole membrane,0,69.4,13.6,SWAT-GFP
YJR125C,ENT3,punctate,punctate,punctate,0,103.8,25.0,SWAT-GFP
YJR126C,VPS70,ER,ER,below threshold,below threshold,32.3,9.1,SWAT-GFP
YJR134C,SGM1,punctate,punctate,below threshold,"punctate,punctate",56.1,10.3,SWAT-GFP
YJR137C,MET5,"cell periphery,punctate,vacuole","cell periphery,vacuole",cytosol,cytosol,64.8,39.0,SWAT-SP-GFP
YJR143C,PMT4,ER,ER,ER,ER,124.9,21.8,SWAT-GFP
YJR150C,DAN1,cell periphery,"cell periphery,vacuole",below threshold,0,50.1,11.9,SWAT-SP-GFP
YJR151C,DAN4,cell periphery,"cell periphery,vacuole",below threshold,0,41.8,12.7,SWAT-SP-GFP
YJR152W,DAL5,"cell periphery,vacuole","cell periphery,vacuole",below threshold,below threshold,59.8,10.5,SWAT-GFP
YJR153W,PGU1,ER,cytosol,below threshold,0,71.8,11.5,SWAT-SP-GFP
YJR158W,HXT16,cell periphery,"cell periphery,vacuole",below threshold,0,97.1,10.3,SWAT-GFP
YJR160C,MPH3,"cell periphery,vacuole","cell periphery,vacuole",below threshold,0,37.7,N/D,SWAT-GFP
YKL002W,DID4,punctate,"cytosol,punctate",punctate,punctate,68.7,11.4,SWAT-GFP
YKL004W,AUR1,"ER,punctate","ER,punctate",punctate,punctate,79.7,27.5,SWAT-GFP
YKL006C-A,SFT1,punctate,"vacuole,punctate",0,"nucleus,cytosol",66.2,N/D,SWAT-GFP
YKL008C,LAC1,"punctate,nuclear periphery",nuclear periphery,nuclear periphery,ER,86.2,29.7,SWAT-GFP
YKL015W,PUT3,nucleus,nucleus,nucleus,"nucleus,cytosol",48.9,11.0,SWAT-GFP
YKL020C,SPT23,ER,ER,punctate,cytosol,27.5,13.0,SWAT-GFP
YKL026C,GPX1,cytosol,cytosol,cytosol,cytosol,111.0,11.9,SWAT-GFP
YKL034W,TUL1,"vacuole,punctate",vacuole,"vacuole,punctate",below threshold,43.3,39.7,SWAT-SP-GFP
YKL037W,AIM26,below threshold,cytosol,below threshold,below threshold,11.2,10.6,SWAT-GFP
YKL039W,PTM1,punctate,vacuole,punctate,below threshold,50.4,18.7,SWAT-SP-GFP
YKL041W,VPS24,"cytosol,punctate",cytosol,"cytosol,punctate","punctate,punctate",89.4,9.7,SWAT-GFP
YKL044W,YKL044W,"punctate,mitochondria","punctate,mitochondria","punctate,mitochondria",below threshold,16.5,12.5,SWAT-GFP
YKL046C,DCW1,ER,ER,ER,"ER,ambiguous,bud",123.3,25.4,SWAT-SP-GFP
YKL047W,ANR2,ER,ER,vacuole membrane,cytosol,55.9,19.1,SWAT-GFP
YKL051W,SFK1,cell periphery,cell periphery,cell periphery,cell periphery,58.1,20.1,SWAT-GFP
YKL063C,YKL063C,punctate,vacuole,punctate,punctate,59.7,21.1,SWAT-GFP
YKL064W,MNR2,vacuole membrane,vacuole membrane,vacuole membrane,ambiguous,71.7,16.7,SWAT-GFP
YKL065C,YET1,ER,ER,ER,ER,N/D,N/D,SWAT-GFP
YKL065W-A,YKL065W-A,"ER,punctate","ER,vacuole",below threshold,0,57.5,12.9,SWAT-GFP
YKL069W,YKL069W,cytosol,cytosol,below threshold,"nucleus,cytosol",130.2,26.3,SWAT-GFP
YKL073W,LHS1,ER,ER,below threshold,vacuole,90.4,12.2,SWAT-SP-GFP
YKL077W,YKL077W,"ER,punctate","ER,punctate",punctate,vacuole,166.0,39.0,SWAT-SP-GFP
YKL080W,VMA5,vacuole membrane,vacuole membrane,vacuole membrane,"ambiguous,vacuole membrane",282.9,83.0,SWAT-GFP
YKL094W,YJU3,"cell periphery,ER","cell periphery,ER","cell periphery,ER",ER,93.2,32.1,SWAT-GFP
YKL096C-B,YKL096C-B,below threshold,below threshold,below threshold,0,10.2,9.4,SWAT-GFP
YKL096W,CWP1,vacuole,vacuole,ER,ER,35.2,20.6,SWAT-SP-GFP
YKL096W-A,CWP2,"cell periphery,vacuole",cytosol,cytosol,ER,64.3,893.5,SWAT-SP-GFP
YKL105C,SEG2,"cell periphery,punctate","cell periphery,punctate",below threshold,cytosol,30.7,9.7,SWAT-GFP
YKL119C,VPH2,ER,vacuole,ER,ER,49.3,16.1,SWAT-GFP
YKL124W,SSH4,ER,ER,ambigous,0,36.3,11.5,SWAT-GFP
YKL129C,MYO3,"cell periphery,punctate","cell periphery,punctate","cell periphery,punctate","cytosol,punctate",78.5,13.2,SWAT-GFP
YKL130C,SHE2,cytosol,cytosol,bud neck,"nucleus,cytosol",105.9,24.9,SWAT-GFP
YKL133C,YKL133C,mitochondria,mitochondria,below threshold,0,31.9,9.2,SWAT-GFP
YKL135C,APL2,"cytosol,punctate","cytosol,punctate",punctate,punctate,78.2,23.9,SWAT-GFP
YKL140W,TGL1,punctate,punctate,punctate,punctate,77.9,21.8,SWAT-GFP
YKL146W,AVT3,vacuole membrane,vacuole membrane,vacuole,ER,60.9,13.9,SWAT-GFP
YKL157W,APE2,nucleus,nucleus,vacuole,"cytosol,mitochondria",76.1,14.6,SWAT-GFP
YKL163W,PIR3,ER,"cell periphery,vacuole",below threshold,cytosol,49.3,11.9,SWAT-SP-GFP
YKL164C,PIR1,ER,"cell periphery,vacuole",below threshold,"nucleus,cytosol",44.7,12.2,SWAT-SP-GFP
YKL165C,MCD4,ER,ER,ER,vacuole,74.3,19.1,SWAT-GFP
YKL173W,SNU114,nucleus,nucleus,nucleus,nucleus,56.4,16.0,SWAT-GFP
YKL174C,TPO5,ER,ER,"below threshold,ER",0,54.5,N/D,SWAT-GFP
YKL175W,ZRT3,ER,ER,ER,vacuole,35.6,17.9,SWAT-GFP
YKL176C,LST4,cytosol,cytosol,below threshold,0,33.3,14.1,SWAT-GFP
YKL178C,STE3,ER,ER,ER,0,25.7,22.3,SWAT-GFP
YKL179C,COY1,punctate,punctate,punctate,punctate,54.3,18.9,SWAT-GFP
YKL183C-A,YKL183C-A,below threshold,below threshold,punctate,0,9.6,8.7,SWAT-GFP
YKL187C,FAT3,cell periphery,"cell periphery,vacuole",below threshold,ambiguous,63.4,9.9,SWAT-GFP
YKL188C,PXA2,punctate,punctate,below threshold,below threshold,39.3,12.1,SWAT-GFP
YKL196C,YKT6,cytosol,cytosol,cytosol,0,148.0,54.1,SWAT-GFP
YKL197C,PEX1,cytosol,cytosol,punctate,punctate,87.2,14.1,SWAT-GFP
YKL209C,STE6,vacuole,vacuole,vacuole,vacuole,23.0,9.1,SWAT-GFP
YKL212W,SAC1,ER,ER,ER,"ER,vacuole",127.1,14.6,SWAT-GFP
YKL217W,JEN1,"cell periphery,vacuole","cell periphery,vacuole",below threshold,below threshold,27.9,11.2,SWAT-GFP
YKL219W,COS9,"ambigous,ER",vacuole,below threshold,below threshold,43.0,9.1,SWAT-GFP
YKL220C,FRE2,vacuole,vacuole,below threshold,below threshold,36.9,12.0,SWAT-SP-GFP
YKL221W,MCH2,cell periphery,0,0,below threshold,N/D,N/D,SWAT-GFP
YKL224C,PAU16,vacuole,vacuole,below threshold,below threshold,37.9,12.0,SWAT-SP-GFP
YKR001C,VPS1,"cytosol,punctate","cytosol,punctate",punctate,"cytosol,punctate,punctate",208.5,70.6,SWAT-GFP
YKR005C,YKR005C,ER,vacuole,below threshold,below threshold,28.8,12.0,SWAT-SP-GFP
YKR007W,MEH1,cytosol,cytosol,cytosol,vacuole membrane,36.4,20.7,SWAT-GFP
YKR009C,FOX2,punctate,punctate,punctate,0,76.5,11.1,SWAT-GFP
YKR013W,PRY2,ER,vacuole,ER,vacuole,30.1,26.3,SWAT-SP-GFP
YKR014C,YPT52,"vacuole membrane,punctate","vacuole membrane,punctate","vacuole membrane,punctate","nucleus,cytosol",91.7,23.9,SWAT-GFP
YKR020W,VPS51,"cytosol,punctate","cytosol,punctate",punctate,punctate,73.3,14.7,SWAT-GFP
YKR021W,ALY1,cytosol,cytosol,cytosol,cytosol,44.2,9.3,SWAT-GFP
YKR022C,NTR2,cytosol,0,below threshold,"ER,nucleus,cytosol",60.6,9.8,SWAT-GFP
YKR026C,GCN3,cytosol,cytosol,cytosol,cytosol,92.9,26.2,SWAT-GFP
YKR027W,BCH2,punctate,punctate,punctate,punctate,47.0,11.5,SWAT-GFP
YKR030W,GMH1,punctate,"ER,punctate",punctate,below threshold,65.4,18.0,SWAT-GFP
YKR036C,CAF4,mitochondria,mitochondria,mitochondria,mitochondria,40.7,13.3,SWAT-GFP
YKR039W,GAP1,ER,ER,below threshold,vacuole,76.7,11.8,SWAT-GFP
YKR044W,UIP5,"vacuole,punctate",vacuole,below threshold,cytosol,41.8,13.0,SWAT-SP-GFP
YKR046C,PET10,punctate,punctate,punctate,punctate,180.3,17.9,SWAT-GFP
YKR050W,TRK2,cell periphery,cell periphery,below threshold,below threshold,32.4,8.5,SWAT-GFP
YKR051W,YKR051W,ER,ER,below threshold,0,16.3,9.3,SWAT-GFP
YKR053C,YSR3,punctate,vacuole,punctate,below threshold,32.1,9.4,SWAT-GFP
YKR055W,RHO4,"cell periphery,ER,bud neck","cell periphery,ER,bud neck",below threshold,"nucleus,cytosol",66.2,14.6,SWAT-GFP
YKR058W,GLG1,"cell periphery,punctate",vacuole,below threshold,below threshold,60.2,11.9,SWAT-SP-GFP
YKR061W,KTR2,ER,vacuole,below threshold,below threshold,69.8,11.9,SWAT-SP-GFP
YKR067W,GPT2,ER,ER,ER,ER,42.9,18.0,SWAT-GFP
YKR068C,BET3,"cytosol,punctate",cytosol,punctate,punctate,68.9,28.0,SWAT-GFP
YKR069W,MET1,ER,nucleus,nucleus,below threshold,46.8,14.7,SWAT-SP-GFP
YKR084C,HBS1,cytosol,cytosol,cytosol,cytosol,86.9,17.8,SWAT-GFP
YKR088C,TVP38,punctate,punctate,punctate,"punctate,punctate,punctate,punctate",96.0,19.4,SWAT-GFP
YKR089C,TGL4,punctate,punctate,punctate,punctate,45.6,14.6,SWAT-GFP
YKR093W,PTR2,"cell periphery,vacuole","cell periphery,vacuole","below threshold,cell periphery","cell periphery,vacuole",74.4,11.5,SWAT-GFP
YKR102W,FLO10,cell periphery,"cell periphery,vacuole",below threshold,0,61.4,10.8,SWAT-SP-GFP
YKR103W,NFT1,below threshold,0,0,"nucleus,cytosol",N/D,N/D,SWAT-GFP
YKR105C,VBA5,cell periphery,0,0,below threshold,N/D,N/D,SWAT-GFP
YKR106W,GEX2,cell periphery,"cell periphery,vacuole",below threshold,below threshold,34.8,9.6,SWAT-GFP
YLL001W,DNM1,"punctate,mitochondria","punctate,mitochondria","punctate,mitochondria","mitochondria,punctate",66.1,21.5,SWAT-GFP
YLL005C,SPO75,below threshold,0,below threshold,below threshold,15.4,8.7,SWAT-GFP
YLL006W,MMM1,"punctate,mitochondria",punctate,punctate,"mitochondria,punctate",42.0,12.0,SWAT-GFP
YLL006W-A,YLL006W-A,"below threshold,punctate","below threshold,punctate","below threshold,punctate",0,13.0,10.8,SWAT-GFP
YLL010C,PSR1,cytosol,cytosol,below threshold,cell periphery,41.3,13.8,SWAT-GFP
YLL012W,YEH1,punctate,0,0,punctate,N/D,N/D,SWAT-GFP
YLL014W,EMC6,ER,ER,ER,ER,95.2,25.5,SWAT-GFP
YLL015W,BPT1,"ER,punctate","ER,punctate",vacuole membrane,vacuole membrane,21.4,12.7,SWAT-GFP
YLL023C,POM33,ER,ER,ER,ER,121.2,23.0,SWAT-GFP
YLL025W,PAU17,vacuole,vacuole,below threshold,below threshold,31.4,11.2,SWAT-SP-GFP
YLL028W,TPO1,cell periphery,cell periphery,cell periphery,"ER,cell periphery,bud",56.3,21.3,SWAT-GFP
YLL031C,GPI13,ER,ER,ER,ER,44.0,15.2,SWAT-GFP
YLL038C,ENT4,cytosol,cytosol,cytosol,cytosol,37.7,12.9,SWAT-GFP
YLL042C,ATG10,below threshold,below threshold,below threshold,below threshold,14.7,12.0,SWAT-GFP
YLL043W,FPS1,"cell periphery,punctate,vacuole","cell periphery,vacuole",cell periphery,"cell periphery,vacuole",52.2,11.7,SWAT-GFP
YLL048C,YBT1,ER,ER,vacuole membrane,vacuole membrane,41.2,N/D,SWAT-GFP
YLL051C,FRE6,vacuole,vacuole,below threshold,vacuole,29.3,11.5,SWAT-SP-GFP
YLL052C,AQY2,cytosol,ambigous,cytosol,ER,34.1,12.9,SWAT-GFP
YLL055W,YCT1,cell periphery,cell periphery,below threshold,ER,59.2,0.0,SWAT-GFP
YLL056C,YLL056C,ER,vacuole,below threshold,below threshold,80.9,11.1,SWAT-SP-GFP
YLL061W,MMP1,"cell periphery,ER","cell periphery,vacuole",cell periphery,ER,60.8,N/D,SWAT-GFP
YLR001C,YLR001C,vacuole,vacuole,below threshold,vacuole membrane,36.4,13.0,SWAT-SP-GFP
YLR004C,THI73,cell periphery,"cell periphery,vacuole",below threshold,below threshold,80.9,N/D,SWAT-GFP
YLR018C,POM34,nuclear periphery,nuclear periphery,nuclear periphery,nuclear periphery,40.6,18.0,SWAT-GFP
